epoch,train_loss,train_ap,train_auc,valid_loss,valid_ap,valid_auc
0,0.38624794236873383,0.90669960977108,0.9026373685485292,0.27486715804446826,0.5019710555255649,0.8552917218743112
1,0.3468874507843087,0.9263244096331854,0.9219490104713381,0.27247081371870907,0.5547552446474163,0.8779126021500984
2,0.33743106767739334,0.9327098369918543,0.9268098188314919,0.2850144985047254,0.5640037091116774,0.8798519967083906
3,0.33748470110708173,0.9310034859213258,0.9265700253227116,0.26023890267718924,0.5698631256287018,0.8836507932455626
4,0.3273163914136146,0.9337294775873289,0.9315889152217947,0.2673488056117838,0.5751136759546314,0.8869424027898688
5,0.3230484960149957,0.9348628791706937,0.9335037607253981,0.24939059154553847,0.566482725296849,0.8893898353259144
6,0.3231039750793753,0.9361833041623077,0.9333888086565101,0.27927402474663476,0.5672363289879839,0.8851995857405568
7,0.32017197340862935,0.937085818124859,0.9345275168005179,0.2837106775153767,0.5660594785813853,0.8887626594639306
8,0.3163676084993092,0.9372656978674493,0.9359160692897057,0.2759797079996629,0.5409772988765483,0.8812561217725335
9,0.313411860161176,0.9394361485502358,0.9374157639188699,0.27665348947048185,0.5607329051532778,0.8887464907510707
10,0.3084772310164421,0.9421797346152023,0.9391495046780249,0.24360129779035394,0.5680488703375473,0.8891728341796379
11,0.30902832025262317,0.944104925211271,0.9390755767016233,0.26643614172935487,0.547228499359318,0.88811505996465
12,0.3066786286765582,0.9423441564865561,0.9400533186066684,0.26986997533928264,0.5694835719375516,0.8925767737290753
13,0.3003976894840258,0.9448967201499849,0.9428443368780433,0.2834523306651549,0.5523009107918813,0.8827861926000056
14,0.3112762833022636,0.9405542146536601,0.9381223193398185,0.3167356258088892,0.5553264419764665,0.8877533913875222
15,0.30810350574314865,0.9431967642558278,0.939455588360897,0.25013736513527957,0.5615867027346125,0.8862633168497561
16,0.3007050229398083,0.9446127228437907,0.9420992810454651,0.27714678943157195,0.5642337880272954,0.8937230503723486
17,0.30762126211706364,0.9418503247063359,0.9398495533754083,0.292722655155442,0.5764193315377133,0.8918117383153392
18,0.29608003196378824,0.9460121679706014,0.9446869646789612,0.2662102395837957,0.5521214474900302,0.8853195746096744
19,0.2989553758814999,0.9458395259233211,0.9432326975205383,0.237182002175938,0.5600427188420359,0.888896264091246
20,0.2963044173233041,0.9457867327906877,0.9447101781084467,0.24676189097491177,0.5680268213077844,0.8861577947237235
21,0.29775712969096285,0.9462819247709937,0.9439939866132506,0.27860307747667484,0.5625083533801838,0.8892332541066401
